url,brand,name,sizes,image_article,status
https://www.intersport.no/13-fishing-coconut-crab-32mm-cherry-bomb-6pk-alle-129617,13,13 FISHING Coconut Crab 32mm Cherry Bomb 6pk Alle,,13-129617,ok
https://www.intersport.no/13-fishing-coconut-crab-32mm-purple-rain-6pk-alle-129620,13,13 FISHING Coconut Crab 32mm Purple Rain 6pk Alle,,13-129620,ok
https://www.intersport.no/13-fishing-coconut-crab-32mm-radioactive-pickle-6-alle-129621,13,13 FISHING Coconut Crab 32mm Radioactive Pickle 6 Alle,,13-129621,ok
https://www.intersport.no/13-fishing-coconut-crab-32mm-snozberry-6pk-alle-129622,13,13 FISHING Coconut Crab 32mm Snozberry 6pk Alle,,13-129622,ok
https://www.intersport.no/13-fishing-jeffrey-36mm-cherry-bomb-6pk-alle-129623,13,13 FISHING Jeffrey 36mm Cherry Bomb 6pk Alle,,13-129623,ok
https://www.intersport.no/13-fishing-jeffrey-36mm-snozberry-6pk-alle-129628,13,13 FISHING Jeffrey 36mm Snozberry 6pk Alle,,13-129628,ok
https://www.intersport.no/13-fishing-flash-bang-jigging-rattle-spoon-11g-38mm-cosmic-perch-no-color-alle-129654,13,13 FISHING Flash Bang Jigging Rattle Spoon 11g 38mm Cosmic Perch No color Alle,,13-129654,ok
https://www.intersport.no/13-fishing-flash-bang-jigging-rattle-spoon-11g-38mm-fire-tiger-no-color-alle-129655,13,13 FISHING Flash Bang Jigging Rattle Spoon 11g 38mm Fire Tiger No color Alle,,13-129655,ok
https://www.intersport.no/13-fishing-flash-bang-jigging-rattle-spoon-11g-38mm-perch-no-color-alle-129657,13,13 FISHING Flash Bang Jigging Rattle Spoon 11g 38mm Perch No color Alle,,13-129657,ok
https://www.intersport.no/13-fishing-flash-bang-jigging-rattle-spoon-11g-38mm-radioactive-no-color-alle-129658,13,13 FISHING Flash Bang Jigging Rattle Spoon 11g 38mm Radioactive No color Alle,,13-129658,ok
https://www.intersport.no/13-fishing-flash-bang-jigging-rattle-spoon-11g-38mm-tickle-me-no-color-alle-129661,13,13 FISHING Flash Bang Jigging Rattle Spoon 11g 38mm Tickle Me No color Alle,,13-129661,ok
https://www.intersport.no/13-fishing-flash-bang-glowstick-refill-kit-no-color-alle-129662,13,13 FISHING Flash Bang Glowstick Refill Kit No color Alle,,13-129662,ok
https://www.intersport.no/13-fishing-rely-black-tele-spinning-6-183cm-l-3-15g-alle-135581,13,13 FISHING Rely Black Tele Spinning 6&#x27; 183cm L 3-15g Alle,,13-135581,ok
https://www.intersport.no/13-fishing-rely-black-tele-spinning-7-213cm-l-3-15g-alle-135582,13,13 FISHING Rely Black Tele Spinning 7&#x27; 213cm L 3-15g Alle,,13-135582,ok
https://www.intersport.no/13-fishing-rely-black-tele-spinning-7-213cm-m-10-30g-alle-135583,13,13 FISHING Rely Black Tele Spinning 7&#x27; 213cm M 10-30g Alle,,13-135583,ok
https://www.intersport.no/13-fishing-rely-black-tele-spinning-8-244cm-l-3-15g-alle-135584,13,13 FISHING Rely Black Tele Spinning 8&#x27; 244cm L 3-15g Alle,,13-135584,ok
https://www.intersport.no/13-fishing-rely-black-tele-spinning-8-244cm-m-10-30g-alle-135585,13,13 FISHING Rely Black Tele Spinning 8&#x27; 244cm M 10-30g Alle,,13-135585,ok
https://www.intersport.no/13-fishing-rely-black-tele-spinning-9-274cm-ml-5-20g-alle-135587,13,13 FISHING Rely Black Tele Spinning 9&#x27; 274cm ML 5-20g Alle,,13-135587,ok
https://www.intersport.no/13-fishing-rely-black-tele-spinning-9-274cm-mh-15-40g-alle-135588,13,13 FISHING Rely Black Tele Spinning 9&#x27; 274cm MH 15-40g Alle,,13-135588,ok
https://www.intersport.no/13-fishing-rely-black-tele-spinning-10-305cm-m-10-30g-alle-135589,13,13 FISHING Rely Black Tele Spinning 10&#x27; 305cm M 10-30g Alle,,13-135589,ok
https://www.intersport.no/13-fishing-rely-black-tele-spinning-10-305cm-mh-15-40g-alle-135590,13,13 FISHING Rely Black Tele Spinning 10&#x27; 305cm MH 15-40g Alle,,13-135590,ok
https://www.intersport.no/13-fishing-omen-gold-tele-spinning-7-210cm-l-3-15g-alle-135604,13-fishing,13 FISHING Omen Gold Tele Spinning 7&#x27; 210cm L 3-15g Alle,,13-fishing-135604,ok
https://www.intersport.no/13-fishing-omen-gold-tele-spinning-8-244cm-l-3-15g-alle-135605,13-fishing,13 FISHING Omen Gold Tele Spinning 8&#x27; 244cm L 3-15g Alle,,13-fishing-135605,ok
https://www.intersport.no/13-fishing-omen-gold-tele-spinning-9-277cm-ml-5-20g-alle-135606,13-fishing,13 FISHING Omen Gold Tele Spinning 9&#x27; 277cm ML 5-20g Alle,,13-fishing-135606,ok
https://www.intersport.no/13-fishing-omen-gold-tele-spinning-9-277cm-mh-15-40g-alle-135607,13,13 FISHING Omen Gold Tele Spinning 9&#x27; 277cm MH 15-40g Alle,,13-135607,ok
https://www.intersport.no/13-fishing-omen-gold-spinning-7-213cm-l-5-15g-5-delt-alle-135608,13-fishing,13 FISHING Omen Gold Spinning 7&#x27; 213cm L 5-15g 5-delt Alle,,13-fishing-135608,ok
https://www.intersport.no/13-fishing-omen-gold-spinning-8-244cm-l-5-15g-5-delt-alle-135609,13-fishing,13 FISHING Omen Gold Spinning 8&#x27; 244cm L 5-15g 5-delt Alle,,13-fishing-135609,ok
https://www.intersport.no/13-fishing-omen-gold-spinning-9-277cm-ml-5-20g-5-delt-alle-135610,13-fishing,13 FISHING Omen Gold Spinning 9&#x27; 277cm ML 5-20g 5-delt Alle,,13-fishing-135610,ok
https://www.intersport.no/13-fishing-omen-gold-spinning-9-277cm-mh-15-40g-5-delt-alle-135611,13-fishing,13 FISHING Omen Gold Spinning 9&#x27; 277cm MH 15-40g 5-delt Alle,,13-fishing-135611,ok
https://www.intersport.no/13-fishing-omen-quest-spinning-orretsjoorret-92-280cm-ml-5-20g-4-delt-alle-135623,13,13 FISHING Omen Quest Spinning Ørret/Sjøørret 9&#x27;2&quot; 280cm ML 5-20g 4-delt Alle,,13-135623,ok
https://www.intersport.no/13-fishing-omen-quest-spinning-sjorretlaks-111-338cm-m-10-30g-4-delt-alle-135627,13-fishing,13 FISHING Omen Quest Spinning Sjørret/Laks 11&#x27;1&quot; 338cm M 10-30g 4-delt Alle,,13-fishing-135627,ok
https://www.intersport.no/13-fishing-origin-f1-bc-utv-661-lh-alle-135636,13,13 FISHING Origin F1 BC Utv. 6.6:1 LH Alle,,13-135636,ok
https://www.intersport.no/13-fishing-snitchfreefall-pro-inline-ice-combo-2974cm-lh-no-color-alle-141074,13,13 FISHING Snitch/FreeFall Pro Inline Ice Combo 29&quot;/74cm LH No color Alle,,13-141074,ok
https://www.intersport.no/13-fishing-snitch-pro-spinning-ice-combo-2358cm-no-color-alle-141076,13,13 FISHING Snitch Pro Spinning Ice Combo 23&quot;/58cm No color Alle,,13-141076,ok
https://www.intersport.no/13-fishing-fate-black-gatekeeper-cast-91-xxxh-100-300g-2pc-no-color-alle-141642,13,13 FISHING Fate Black GateKeeper Cast 9&#x27;1 XXXH 100-300g 2pc No color Alle,,13-141642,ok
https://www.intersport.no/13-fishing-modus-rp2-bc-utv-811-shallow-spool-rh-rh-alle-142084,13-fishing,13 FISHING Modus RP2 BC Utv. 8.1:1 Shallow Spool RH RH Alle,,13-fishing-142084,ok
https://www.intersport.no/13-fishing-modus-c2-bc-utv-661-rh-rh-alle-142088,13,13 FISHING Modus C2 BC Utv. 6.6:1 RH RH Alle,,13-142088,ok
https://www.intersport.no/13-fishing-modus-c2-bc-utv-661-lh-lh-alle-142089,13,13 FISHING Modus C2 BC Utv. 6.6:1 LH LH Alle,,13-142089,ok
https://www.intersport.no/13-fishing-modus-c2-bc-utv-811-lh-lh-alle-142091,13,13 FISHING Modus C2 BC Utv. 8.1:1 LH LH Alle,,13-142091,ok
https://www.intersport.no/13-fishing-the-snitchdescent-inline-ice-combo-left-hand-retrieve-25-with-flex-core-quick-tip-no-color-alle-149708,13,13 FISHING The Snitch/Descent Inline Ice Combo - Left Hand Retrieve - 25&quot; with Flex-Core Quick Tip No color Alle,,13-149708,ok
https://www.intersport.no/13-fishing-the-snitchdescent-inline-ice-combo-left-hand-retrieve-29-with-flex-core-quick-tip-no-color-alle-149709,13-fishing,13 FISHING The Snitch/Descent Inline Ice Combo - Left Hand Retrieve - 29&quot; with Flex-Core Quick Tip No color Alle,,13-fishing-149709,ok
https://www.intersport.no/13-fishing-white-noise-ice-combo-26-m-isfiskestang-no-color-alle-149713,13,13 FISHING White Noise Ice Combo - 26&quot; M isfiskestang No color Alle,,13-149713,ok
https://www.intersport.no/13-fishing-thermo-ice-combo-24-l-light-no-color-alle-149719,13-fishing,13 FISHING Thermo Ice Combo - 24&quot; L (Light) No color Alle,,13-fishing-149719,ok
https://www.intersport.no/13-fishing-thermo-ice-combo-26-ml-medium-light-no-color-alle-149720,13-fishing,13 FISHING Thermo Ice Combo - 26&quot; ML (Medium Light) No color Alle,,13-fishing-149720,ok
https://www.intersport.no/13-fishing-thermo-ice-combo-28-m-fiskestang-no-color-alle-149721,13,13 FISHING Thermo Ice Combo - 28 M fiskestang No color Alle,,13-149721,ok
https://www.intersport.no/13-fishing-thermo-ice-combo-30-m-medium-no-color-alle-149722,13,13 FISHING Thermo Ice Combo - 30&quot; M (Medium) No color Alle,,13-149722,ok
https://www.intersport.no/2xu-aero-compression-tights-herre-blacksilver-reflective-herre-ma7044b,2xu,2XU Aero Compression tights herre BLACK/SILVER REFLECTIVE Herre,,2xu-ma7044b,ok
https://www.intersport.no/2xu-aero-mesh-compression-tights-blacksilver-reflective-herre-ma7377b,2xu,2XU AERO MESH COMPRESSION TIGHTS BLACK/SILVER REFLECTIVE Herre,,2xu-ma7377b,ok
https://www.intersport.no/2xu-aero-7-inch-shorts-blacksilver-reflective-herre-mr6904b,2xu,2XU AERO 7 INCH SHORTS BLACK/SILVER REFLECTIVE Herre,,2xu-mr6904b,ok
https://www.intersport.no/2xu-aero-mesh-2-in-1-5-inch-shorts-blacksilver-reflective-herre-mr7351b,2xu,2XU AERO MESH 2-IN-1 5 INCH SHORTS BLACK/SILVER REFLECTIVE Herre,,2xu-mr7351b,ok
https://www.intersport.no/2xu-aero-mesh-tee-blacksilver-reflective-herre-mr7441a,2xu,2XU AERO MESH TEE BLACK/SILVER REFLECTIVE Herre,,2xu-mr7441a,ok
https://www.intersport.no/2xu-aero-mesh-tee-whitesilver-reflective-herre-mr7441a,2xu,2XU AERO MESH TEE WHITE/SILVER REFLECTIVE Herre,,2xu-mr7441a,ok
https://www.intersport.no/2xu-aero-woven-jogger-blacksilver-reflective-herre-mr7459b,2xu,2XU AERO WOVEN JOGGER BLACK/SILVER REFLECTIVE Herre,,2xu-mr7459b,ok
https://www.intersport.no/2xu-compression-calf-guards-blackblack-unisex-ua1987b,2xu,2XU COMPRESSION CALF GUARDS BLACK/BLACK Unisex,,2xu-ua1987b,ok
https://www.intersport.no/2xu-vectr-light-cushion-full-length-kompresjonssokker-blacktitanium-alle-ua5155e,2xu,2XU Vectr Light Cushion Full Length kompresjonssokker BLACK/TITANIUM Alle,,2xu-ua5155e,ok
