url,brand,name,sizes,image_article,status
https://www.fjellsport.no/merker/the-north-face/the-north-face-base-camp-duffel-s-tnf-black-tnf-white-npf-397-4723,the-north-face,The North Face Base Camp Duffel - S TNF Black/TNF White | Fjellsport.no,OS,c1903d21-d32e-4ece-8881-a4b0c65c6d10_t8cuz2,ok
https://www.fjellsport.no/merker/the-north-face/the-north-face-base-camp-duffel-s-white-dune-tnf-white-397-4727,the-north-face,The North Face Base Camp Duffel - S White Dune/TNF White | Fjellsport.no,OS,NF0A52ST-UB0-1,ok
https://www.fjellsport.no/merker/the-north-face/the-north-face-base-camp-duffel-s-new-taupe-green-smokey-439-4548,the-north-face,The North Face Base Camp Duffel - S New Taupe Green/Smokey | Fjellsport.no,OS,52st-b7i,ok
https://www.fjellsport.no/merker/the-north-face/the-north-face-base-camp-duffel-s-indigo-plum-bright-foam-439-4549,the-north-face,The North Face Base Camp Duffel - S Indigo Plum/Bright Foam | Fjellsport.no,OS,52st-b91,ok
https://www.fjellsport.no/merker/the-north-face/the-north-face-base-camp-duffel-s-cyber-berry-tnf-black-439-4611,the-north-face,The North Face Base Camp Duffel - S Cyber Berry/TNF Black | Fjellsport.no,OS,52st-6a3,ok
https://www.fjellsport.no/merker/the-north-face/base-camp-duffel-s-185913-171541-P499-3016,the-north-face,The North Face Base Camp Duffel - S Metal Pink/Hushed Lavender | Fjellsport.no,OS,52st-nkk,ok
https://www.fjellsport.no/merker/the-north-face/the-north-face-base-camp-gear-box-l-tnf-black-tnf-black-npf-P397-4772,the-north-face,The North Face Base Camp Gear Box L TNF Black/TNF Black/NPF | Fjellsport.no,OS,81cc-4hf,ok
https://www.fjellsport.no/merker/the-north-face/the-north-face-base-camp-gear-box-l-summit-gold-tnf-black-n-P397-4773,the-north-face,The North Face Base Camp Gear Box L Summit Gold/TNF Black/NPF | Fjellsport.no,OS,81cc-4wp,ok
https://www.fjellsport.no/merker/the-north-face/the-north-face-base-camp-gear-box-m-tnf-black-tnf-black-npf-397-4774,the-north-face,The North Face Base Camp Gear Box M TNF Black/TNF Black/NPF | Fjellsport.no,One size,81cd-4hf,ok
https://www.fjellsport.no/merker/the-north-face/the-north-face-base-camp-gear-box-m-summit-gold-tnf-black-n-P397-4775,the-north-face,The North Face Base Camp Gear Box M Summit Gold/TNF Black/NPF | Fjellsport.no,One size,81cd-4wp,ok
