url,brand,name,sizes,image_article,status
https://www.xxl.no/timberland-abington-durable-water-repellent-jacket-brun/p/1255172_1_Style,Timberland,Abington Durable Water Repellent Jacket,L;M;S;XL;XXL;XXXL,1255172,ok
https://www.xxl.no/firetrap-bomber-jacket-jakke-herre-svart/p/1247470_1_Style,Firetrap,"Bomber Jacket, jakke, herre",2XL;3XL;4XL;L;M;S;XL;XS,1247470,ok
https://www.xxl.no/firetrap-sartorial-jakke-herre-svart/p/1247453_1_Style,Firetrap,"Sartorial, jakke, herre",2XL;3XL;4XL;L;M;S;XL;XS,1247453,ok
https://www.xxl.no/nike-windrunner-lined-jacket-jakke-herre-gra/p/1247224_1_Style,Nike,"Windrunner Lined Jacket, jakke, herre",2XL;L;M;S;XL,1247224,ok
https://www.xxl.no/firetrap-pocket-softshell-jacket-jakke-herre-svart/p/1249316_1_Style,Firetrap,"Pocket Softshell Jacket, jakke, herre",2XL;3XL;L;M;S;XL,1249316,ok
https://www.xxl.no/timberland-water-resistant-fishtai-parka-herre-mork-gronn/p/1255603_1_Style,Timberland,"Water Resistant Fishtai, parka, herre",S;XL;XXL;XXXL,1255603,ok
https://www.xxl.no/timberland-winterized-straham-bombrn-jakke-herre-gra/p/1254314_1_Style,Timberland,"Winterized Straham Bombrn jakke, herre",L;M;S;XXL;XXXL,1254314,ok
https://www.xxl.no/timberland-abington-field-jacket-jakke-herre-mork-gronn/p/1255362_1_Style,Timberland,"Abington Field Jacket, jakke, herre",L;M;XL;XXL;XXXL,1255362,ok
https://www.xxl.no/timberland-super-waterproof-down-3-mork-gronn/p/1255498_1_Style,Timberland,Super Waterproof Down 3,S,1255498,ok
https://www.xxl.no/timberland-sailor-bomber-jkt-gronn/p/1255358_1_Style,Timberland,Sailor Bomber Jkt,S;XXL,1255358,ok
https://www.xxl.no/the-north-face-mountain-q-jacket-gull/p/1259634_1_Style,The North Face,Mountain Q Jacket,XS,1259634,ok
https://www.xxl.no/stormberg-trolltind-recycled-parka-parkas-gronn/p/1230161_1_Style,Stormberg,"Trolltind Recycled Parka, parkas",L;M;S;XL;XXL,1230161,ok
https://www.xxl.no/vans-zion-wright-anorak-bla/p/1257940_1_Style,Vans,Zion Wright Anorak,XS,1257940,ok
https://www.xxl.no/nike-swoosh-air-tracktop-jakke-herre-bla/p/1253835_1_Style,Nike,"Swoosh Air Tracktop, jakke, herre",L;M;S;XL;XS;XXL,1253835,ok
https://www.xxl.no/timberland-work-cord-chore-jacket-jakke-herre-mork-gronn/p/1255356_1_Style,Timberland,"Work Cord Chore Jacket, jakke, herre",L;M;S;XL;XXL,1255356,ok
https://www.xxl.no/timberland-wr-3in1-parka-parka-herre-brun/p/1255535_1_Style,Timberland,"Wr 3In1 Parka, parka, herre",S;XL;XXL,1255535,ok
https://www.xxl.no/vans-reversible-torrey-gronn/p/1258589_1_Style,Vans,Reversible Torrey,M,1258589,ok
https://www.xxl.no/timberland-wr-3in1-field-mork-bla/p/1255530_1_Style,Timberland,Wr 3In1 Field,S;XXL,1255530,ok
https://www.xxl.no/timberland-woven-badge-ripstop-coa-jakke-unisex-svart/p/1255338_1_Style,Timberland,"Woven Badge Ripstop Coa, jakke, unisex",L;M;S;XL;XS;XXL;XXS;XXXL,1255338,ok
https://www.xxl.no/lonsdale-s-less-tee-vest-hvit/p/1249087_1_Style,Lonsdale,"S/Less Tee, , vest",2XL;L;M;S;XL;XS,1249087,ok
