timestamp_utc,site,category,sku_count,status,note
2026-07-06T10:05:23+00:00,xxl,Barn,2141,ok,
2026-07-06T10:05:23+00:00,xxl,Sport,10586,ok,
2026-07-06T10:05:23+00:00,xxl,Turutstyr,1218,ok,
2026-07-06T10:05:23+00:00,xxl,Jakt & Fiske,3123,ok,
2026-07-06T10:05:23+00:00,antonsport,all,,error,antonsport scraper not yet configured - see TODO in scrapers/antonsport.py
2026-07-06T10:05:23+00:00,intersport,all,,error,intersport scraper not yet configured - see TODO in scrapers/intersport.py
2026-07-06T10:05:23+00:00,sport1,all,,error,sport1.no has no known whole-catalog page - counts are per category
2026-07-06T10:05:23+00:00,fjellsport,all,21550,ok,
2026-07-06T10:05:23+00:00,fjellsport,Herre,4326,ok,
2026-07-06T10:05:23+00:00,fjellsport,Dame,4107,ok,
2026-07-06T10:05:23+00:00,fjellsport,Utstyr,7128,ok,
2026-07-06T10:05:23+00:00,fjellsport,Sko og støvler,1481,ok,
2026-07-06T10:05:23+00:00,fjellsport,Barn,811,ok,
2026-07-06T10:05:23+00:00,sport1,Klær,8479,ok,
2026-07-06T10:05:23+00:00,sport1,Sko,2365,ok,
2026-07-06T10:05:23+00:00,sport1,Sport & Ballspill,2189,ok,
2026-07-06T10:05:23+00:00,sport1,Friluft,5301,ok,
2026-07-06T10:05:23+00:00,sport1,Vintersport,1202,ok,
2026-07-06T10:05:23+00:00,sport1,Sykkel,1579,ok,
2026-07-06T10:05:23+00:00,sport1,Trening & Helse,701,ok,
